input,output
Macam mana nak pergi KLCC dari sini?,How do I get to KLCC from here
How to go KLCC?,How do I get to KLCC from here
Route ke KLCC?,How do I get to KLCC from here
Can you show the way to KLCC?,How do I get to KLCC from here
Nak ke KLCC macam mana eh?,How do I get to KLCC from here
KLCC dekat mana dari sini?,How do I get to KLCC from here
Tolong tunjuk jalan ke KLCC,How do I get to KLCC from here
I need directions to KLCC,How do I get to KLCC from here
What's the best way to go to KLCC?,How do I get to KLCC from here
KLCC nak pergi macam mana dari sini?,How do I get to KLCC from here
Mana petrol ek,Where is the nearest petrol pump
Where petrol,Where is the nearest petrol pump
Petrol station dekat mana?,Where is the nearest petrol pump
Any petrol station nearby?,Where is the nearest petrol pump
Cari stesen minyak terdekat,Where is the nearest petrol pump
Dekat sini ada minyak tak?,Where is the nearest petrol pump
Saya nak isi minyak,Where is the nearest petrol pump
Where can I find petrol?,Where is the nearest petrol pump
Tempat isi minyak paling dekat?,Where is the nearest petrol pump
Need to refuel where?,Where is the nearest petrol pump
berapa dapat harini,How much did I earn today
how much I get today,How much did I earn today
Hari ni income berapa?,How much did I earn today
Show today's earnings,How much did I earn today
Today dapat berapa?,How much did I earn today
Berapa job complete hari ni?,How much did I earn today
How much is today's pay?,How much did I earn today
Hari ini punya earning?,How much did I earn today
Saya nak tengok hasil harini,How much did I earn today
Earning untuk hari ni berapa?,How much did I earn today
Call customer,Call customer number
panggil customer,Call customer number
telefon customer,Call customer number
please call customer,Call customer number
call pelanggan,Call customer number
telofon pelanggan,Call customer number
panggil pelanggan,Call customer number
telefon penumpang,Call customer number
call penumpang,Call customer number
customer drop off,customer drop off
customer diturunkan,customer drop off
customer tiba ke destinasi,customer drop off
pelanggan drop off,customer drop off
pelanggan tiba ke destinasi,customer drop off
drop off customer,customer drop off
arrived to customer location,customer drop off
tugas selesai,customer drop off
job completed,customer drop off
im available for job,im available for job
saya available,im available for job
saya nak kerja,im available for job
saya nak job,im available for job
I want job,im available for job
I want customer,im available for job
give me job,im available for job
saya nak start,im available for job
start the job,im available for job
open map,open map for navigation
buka map,open map for navigation
navigate me,open map for navigation
navigation,open map for navigation
navigasi,open map for navigation
give me direction,open map for navigation
bagi saya direction,open map for navigation
open waze,open map for navigation
buka waze,open map for navigation
open google maps,open map for navigation
buka google maps,open map for navigation
accept the job,accept the job
terima job,accept the job
terima kerja,accept the job
accept the customer,accept the job
terima customer,accept the job
setuju ,accept the job
agree with the job,accept the job
saya terima kerja,accept the job
saya bersetuju,accept the job
I accept it,accept the job
I accept the job,accept the job
stop working,stop and not available for job
stop job,stop and not available for job
stop grab,stop and not available for job
I don�t want to work,stop and not available for job
berhenti kerja,stop and not available for job
saya nak rest,stop and not available for job
I want to rest,stop and not available for job
resting,stop and not available for job
saya berhenti,stop and not available for job
saya nak stop,stop and not available for job
berhenti grab,stop and not available for job
quit grab,stop and not available for job
keluar grab,stop and not available for job
saya nak berehat,stop and not available for job
tutup grab,stop and not available for job
tutup job,stop and not available for job
close grab,stop and not available for job
what the eta ,what the eta 
give me the eta,what the eta 
when will I arrive,what the eta 
how long the drive,what the eta 
how much time will I arrive,what the eta 
berapa lama lagi,what the eta 
berapa minit,what the eta 
how many minute ,what the eta 
bila nak sampai,what the eta 
berapa lama masa yang diambil,what the eta 
bila nak tiba ke destinasi,what the eta 
masa perjalanan,what the eta 
saya akan tiba pukul  brp,what the eta 
please reject customer,please reject customer
reject customer,please reject customer
I don�t want customer,please reject customer
saya taknak customer ini,please reject customer
reject pelanggan,please reject customer
saya reject,please reject customer
saya tak nak,please reject customer
saya reject pelanggan ini,please reject customer
saya tolak customer ini,please reject customer
tolak customer,please reject customer
Macam mana nak pergi Pavillion dari sini?,How do I get to pavilion from here
How to go pavillion?,How do I get to pavilion from here
Route ke pavillion?,How do I get to pavilion from here
Can you show the way to pavillion?,How do I get to pavilion from here
Nak ke pavillion macam mana eh?,How do I get to pavilion from here
pavillion dekat mana dari sini?,How do I get to pavilion from here
Tolong tunjuk jalan ke pavillion,How do I get to pavilion from here
I need directions to pavillion,How do I get to pavilion from here
What's the best way to go to pavillion?,How do I get to pavilion from here
pavillion nak pergi macam mana dari sini?,How do I get to pavilion from here
